Date,Price,Open,High,Low,Vol,Change %
15-Nov-16,1225.75,1223.4,1231.25,1218.5,-,0.19%
14-Nov-16,1223.45,1229.25,1229.75,1211,-,-0.47%
13-Nov-16,1229.25,1227.15,1230.85,1226.5,-,0.47%
11-Nov-16,1223.5,1253.7,1258.7,1219.1,-,-3.32%
10-Nov-16,1265.5,1274.4,1287.5,1253.3,0.06K,-0.56%
9-Nov-16,1272.6,1272.2,1318.6,1270,0.11K,-0.06%
8-Nov-16,1273.4,1284.1,1289.4,1273.2,0.05K,-0.38%
7-Nov-16,1278.3,1292,1294.5,1280.2,0.03K,-1.92%
4-Nov-16,1303.3,1300,1300,1296.7,0.01K,0.09%
3-Nov-16,1302.1,1296.4,1303.1,1287.3,0.07K,-0.36%
2-Nov-16,1306.8,1288.3,1307,1288.3,0.03K,1.59%
1-Nov-16,1286.4,1279.3,1290.7,1279,0.05K,1.17%
31-Oct-16,1271.5,1276.6,1276.6,1272.2,0.06K,-0.31%
28-Oct-16,1275.5,1270.3,1281.5,1262,0.56K,0.60%
27-Oct-16,1267.9,1269.4,1269.4,1269.4,0.07K,0.25%
26-Oct-16,1264.8,1274,1274,1270,0.28K,-0.56%
25-Oct-16,1271.9,1264.1,1274.1,1264.1,0.06K,0.78%
24-Oct-16,1262,1269.2,1269.2,1261.8,0.04K,-0.40%
21-Oct-16,1267.05,1265.55,1268.6,1261.5,-,0.11%
20-Oct-16,1265.6,1270,1270.5,1265.5,0.42K,-0.18%
19-Oct-16,1267.9,1262.9,1271.5,1262.9,0.22K,0.56%
18-Oct-16,1260.8,1260.9,1261.7,1260.9,0.01K,0.51%
17-Oct-16,1254.4,1249.9,1255,1249.9,0.04K,0.10%
14-Oct-16,1253.1,1253.9,1253.9,1250.6,0.31K,-0.15%
13-Oct-16,1255,1258.7,1259,1255.2,0.32K,0.31%
12-Oct-16,1251.1,1251.7,1254,1251.7,0.13K,-0.15%
11-Oct-16,1253,1258.9,1258.9,1253.8,0.03K,-0.36%
10-Oct-16,1257.5,1258.8,1260.4,1256.9,0.03K,0.69%
7-Oct-16,1248.9,1253.9,1263.6,1249.5,0.17K,-0.07%
6-Oct-16,1249.8,1265.3,1265.3,1249.9,0.11K,-1.22%
5-Oct-16,1265.2,1272.1,1274,1261.3,0.25K,-0.09%
4-Oct-16,1266.3,1307.6,1310.2,1266.3,1.89K,-3.26%
3-Oct-16,1309,1313.5,1316.8,1308.2,0.30K,-0.33%
30-Sep-16,1313.3,1320.6,1327.7,1312.9,0.87K,-0.64%
29-Sep-16,1321.7,1321.2,1325,1314.7,6.11K,-0.40%
28-Sep-16,1326.95,1330.1,1330.65,1321,-,0.08%
27-Sep-16,1325.9,1328,1328.7,1327.9,0.05K,-1.03%
26-Sep-16,1339.7,1335.2,1341.8,1335.2,0.02K,-0.14%
23-Sep-16,1341.55,1340.95,1344.45,1337.45,-,0.09%
22-Sep-16,1340.4,1338.6,1338.6,1338.2,0.02K,1.02%
21-Sep-16,1326.9,1326.3,1326.3,1324,0.08K,0.58%
20-Sep-16,1319.25,1317.05,1321.05,1315.25,-,0.16%
19-Sep-16,1317.15,1314.15,1321.55,1312.65,-,0.23%
18-Sep-16,1314.15,1313.25,1315.75,1312.9,-,0.64%
16-Sep-16,1305.8,1312.2,1312.6,1311.9,0.00K,-0.59%
15-Sep-16,1313.5,1320.7,1320.7,1310.8,0.04K,-0.61%
14-Sep-16,1321.5,1319.2,1322.3,1319.2,0.07K,0.19%
13-Sep-16,1319,1324.6,1324.6,1315,0.08K,-0.15%
12-Sep-16,1321,1327,1329.3,1319.9,0.18K,-0.68%
9-Sep-16,1330.1,1338.5,1338.5,1328,0.04K,-0.50%
8-Sep-16,1336.8,1344.8,1345.4,1335.7,0.03K,-0.56%
7-Sep-16,1344.3,1348.4,1350.5,1343.9,0.01K,-0.38%
6-Sep-16,1349.4,1323.3,1347.2,1323.2,0.05K,1.37%
5-Sep-16,1331.1,1326.35,1332.15,1325.55,-,0.37%
4-Sep-16,1326.25,1328.2,1328.75,1326.15,-,0.31%
2-Sep-16,1322.1,1309.6,1326.7,1309.2,0.06K,0.75%
1-Sep-16,1312.2,1305.3,1313.1,1301.5,0.23K,0.41%
31-Aug-16,1306.9,1310.3,1313.7,1306.3,0.21K,-0.37%
30-Aug-16,1311.7,1322,1322.1,1308,0.71K,-0.85%
29-Aug-16,1322.9,1315,1323,1315,0.04K,0.11%
26-Aug-16,1321.5,1323.8,1340.5,1320.1,0.14K,0.11%
25-Aug-16,1320.1,1321.4,1324,1317,0.06K,-0.32%
24-Aug-16,1324.4,1337.2,1337.2,1322.9,0.26K,-1.21%
23-Aug-16,1340.6,1337,1341.2,1334.3,0.55K,0.22%
22-Aug-16,1337.7,1334.4,1337.7,1333.3,0.12K,-0.20%
19-Aug-16,1340.4,1350.1,1350.1,1338.6,0.20K,-0.80%
18-Aug-16,1351.2,1351.3,1354.4,1348.2,0.14K,0.63%
17-Aug-16,1342.7,1345.5,1347.3,1338.6,0.14K,-0.58%
16-Aug-16,1350.5,1342.2,1355,1341,0.34K,0.76%
15-Aug-16,1340.3,1336.5,1340.6,1333.6,0.06K,0.34%
12-Aug-16,1335.8,1336.8,1351.8,1333.2,0.11K,-0.50%
11-Aug-16,1342.5,1341.6,1350.4,1334.8,0.67K,-0.13%
10-Aug-16,1344.3,1344.8,1354.2,1344.7,0.11K,0.40%
9-Aug-16,1339,1331.8,1339.4,1328.5,0.62K,0.42%
8-Aug-16,1333.4,1330,1335.4,1327.8,0.59K,-0.22%
5-Aug-16,1336.4,1357.6,1360.8,1333.7,1.11K,-1.65%
4-Aug-16,1358.8,1354.4,1361.6,1347,0.38K,0.20%
3-Aug-16,1356.1,1362.4,1364.7,1353.3,0.72K,-0.61%
2-Aug-16,1364.4,1352.1,1366,1346.6,2.94K,0.96%
